Name,Team,Position,PositionExp,PositionGrp,Side,Age,Height,Weight,Years,Playtime,College,Jersey
Austin Pasztor,Cleveland,OL,Offensive Line,Offensive Line,Offense,25,79,308,4,1-4 Yrs,Virginia,67
Cameron Erving,Cleveland,OT,Offensive Tackle,Offensive Line,Offense,23,77,313,2,1-4 Yrs,Florida State,74
Joe Thomas,Cleveland,OT,Offensive Tackle,Offensive Line,Offense,31,78,312,10,9-12 Yrs,Wisconsin,73
Spencer Drango,Cleveland,OT,Offensive Tackle,Offensive Line,Offense,23,78,320,0,Rookie,Baylor,58
Andy Lee,Cleveland,P,Punter,Special Teams,Special Teams,33,73,185,13,13+ Yrs,Pittsburgh,8
Patrick Murray,Cleveland,PK,Place Kicker,Special Teams,Special Teams,25,67,182,3,1-4 Yrs,Fordham,NA
Travis Coons,Cleveland,PK,Place Kicker,Special Teams,Special Teams,24,73,200,2,1-4 Yrs,Washington,6
Cody Kessler,Cleveland,QB,Quarterback,QB,Offense,23,73,224,0,Rookie,USC,6
Austin Davis,Cleveland,QB,Quarterback,QB,Offense,27,74,221,5,5-8 Yrs,Southern Mississippi,7
Robert Griffin,Cleveland,QB,Quarterback,QB,Offense,26,74,222,5,5-8 Yrs,Baylor,10
Josh McCown,Cleveland,QB,Quarterback,QB,Offense,37,76,218,14,13+ Yrs,Sam Houston State,13
Duke Johnson Jr.,Cleveland,RB,Running Back,Tailback,Offense,22,69,210,2,1-4 Yrs,Miami,29
Raheem Mostert,Cleveland,RB,Running Back,Tailback,Offense,24,70,195,2,1-4 Yrs,Purdue,25
Isaiah Crowell,Cleveland,RB,Running Back,Tailback,Offense,23,71,225,3,1-4 Yrs,Alabama State,34
Terrell Watson,Cleveland,RB,Running Back,Tailback,Offense,22,73,242,1,1-4 Yrs,Azusa Pacific,38
Glenn Winston,Cleveland,RB,Running Back,Tailback,Offense,27,74,220,3,1-4 Yrs,Northwood (MI),28
Derrick Kindred,Cleveland,S,Safety,Defensive Back,Defense,22,70,207,0,Rookie,TCU,26
Don Jones,Cleveland,S,Safety,Defensive Back,Defense,26,71,205,4,1-4 Yrs,Arkansas State,35
Rahim Moore,Cleveland,S,Safety,Defensive Back,Defense,26,73,195,6,5-8 Yrs,UCLA,20
E.J. Bibbs,Cleveland,TE,Tight End,Tight End,Offense,24,74,258,2,1-4 Yrs,Iowa State,88
Randall Telfer,Cleveland,TE,Tight End,Tight End,Offense,24,76,250,1,1-4 Yrs,USC,86
J.P. Holtz,Cleveland,TE,Tight End,Tight End,Offense,22,76,245,0,Rookie,Pittsburgh,86
Gary Barnidge,Cleveland,TE,Tight End,Tight End,Offense,30,78,250,9,9-12 Yrs,Louisville,82
Connor Hamlett,Cleveland,TE,Tight End,Tight End,Offense,24,79,266,1,1-4 Yrs,Oregon State,89
Marlon Moore,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,28,72,190,7,5-8 Yrs,Fresno State,15
Andrew Hawkins,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,30,67,180,6,5-8 Yrs,Toledo,16
Taylor Gabriel,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,25,68,167,3,1-4 Yrs,Abilene Christian,18
Darius Jennings,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,24,70,169,1,1-4 Yrs,Virginia,17
Corey Coleman,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,22,71,190,0,Rookie,Baylor,1
Rannell Hall,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,24,73,200,1,1-4 Yrs,UCF,85
Ricardo Louis,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,22,73,214,0,Rookie,Auburn,5
Jordan Payton,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,22,73,216,0,Rookie,UCLA,9
Rashard Higgins,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,21,74,190,0,Rookie,Colorado State,82
Dennis Parks,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,21,74,200,0,Rookie,Rice,NA
Josh Gordon,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,25,75,225,3,1-4 Yrs,Utah,12
Terrelle Pryor,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,27,76,233,4,1-4 Yrs,Ohio State,11
Seth DeValve,Cleveland,WR,Wide Receiver,Wide Receiver,Offense,23,76,245,0,Rookie,Princeton,87
Joe Looney,Dallas,C,Center,Offensive Line,Offense,25,75,315,5,5-8 Yrs,Wake Forest,75
Travis Frederick,Dallas,C,Center,Offensive Line,Offense,25,76,315,4,1-4 Yrs,Wisconsin,72
Brandon Carr,Dallas,CB,Cornerback,Defensive Back,Defense,30,72,210,9,9-12 Yrs,Grand Valley State,39
Isaiah Frey,Dallas,CB,Cornerback,Defensive Back,Defense,26,72,190,3,1-4 Yrs,Nevada,NA
Byron Jones,Dallas,CB,Cornerback,Defensive Back,Defense,23,72,205,2,1-4 Yrs,Connecticut,31
Jeremiah McKinnon,Dallas,CB,Cornerback,Defensive Back,Defense,23,72,185,0,Rookie,Florida Intl,7
Orlando Scandrick,Dallas,CB,Cornerback,Defensive Back,Defense,29,70,195,9,9-12 Yrs,Boise State,32
Josh Thomas,Dallas,CB,Cornerback,Defensive Back,Defense,27,71,185,6,5-8 Yrs,Buffalo,26
Morris Claiborne,Dallas,CB,Cornerback,Defensive Back,Defense,26,71,192,5,5-8 Yrs,LSU,24
Anthony Brown,Dallas,CB,Cornerback,Defensive Back,Defense,22,71,192,0,Rookie,Purdue,9
Arjen Colquhoun,Dallas,CB,Cornerback,Defensive Back,Defense,23,73,192,0,Rookie,Michigan State,36
Daxton Swanson,Dallas,DB,Defensive Back,Defensive Back,Defense,25,71,191,1,1-4 Yrs,Sam Houston State,NA
Deji Olatoye,Dallas,DB,Defensive Back,Defensive Back,Defense,25,73,194,2,1-4 Yrs,North Carolina A&T,29
Charles Tapper,Dallas,DE,Defensive End,Front Seven,Defense,23,74,276,0,Rookie,Oklahoma,91
Zach Wood,Dallas,DE,Defensive End,Front Seven,Defense,NA,75,258,0,Rookie,SMU,NA
DeMarcus Lawrence,Dallas,DE,Defensive End,Front Seven,Defense,24,75,265,3,1-4 Yrs,Boise State,90
Benson Mayowa,Dallas,DE,Defensive End,Front Seven,Defense,24,75,240,4,1-4 Yrs,Idaho,93
Ryan Russell,Dallas,DE,Defensive End,Front Seven,Defense,24,77,275,2,1-4 Yrs,Purdue,99
Randy Gregory,Dallas,DE,Defensive End,Front Seven,Defense,23,77,255,2,1-4 Yrs,Nebraska,94
Michael McAdoo,Dallas,DE,Defensive End,Front Seven,Defense,26,79,245,3,1-4 Yrs,North Carolina,66
Rodney Coe,Dallas,DL,Defensive Lineman,Front Seven,Defense,23,75,305,0,Rookie,Akron,9
David Irving,Dallas,DL,Defensive Lineman,Front Seven,Defense,22,79,273,2,1-4 Yrs,Iowa State,95
Casey Walker,Dallas,DT,Defensive Tackle,Front Seven,Defense,26,73,340,2,1-4 Yrs,Oklahoma,63
Terrell McClain,Dallas,DT,Defensive Tackle,Front Seven,Defense,28,74,302,6,5-8 Yrs,South Florida,97
Maliek Collins,Dallas,DT,Defensive Tackle,Front Seven,Defense,21,74,300,0,Rookie,Nebraska,7
Cedric Thornton,Dallas,DT,Defensive Tackle,Front Seven,Defense,28,76,309,5,5-8 Yrs,Southern Arkansas,75
Tyrone Crawford,Dallas,DT,Defensive Tackle,Front Seven,Defense,26,76,290,5,5-8 Yrs,Boise State,98
Jack Crawford,Dallas,DT,Defensive Tackle,Front Seven,Defense,27,77,288,5,5-8 Yrs,Penn State,58
Anthony Hitchens,Dallas,LB,Linebacker,Front Seven,Defense,24,72,235,3,1-4 Yrs,Iowa,59
Keith Smith,Dallas,LB,Linebacker,Front Seven,Defense,24,72,232,2,1-4 Yrs,San Jose State,56
Derek Akunne,Dallas,LB,Linebacker,Front Seven,Defense,22,72,242,1,1-4 Yrs,North Texas,54
Justin Durant,Dallas,LB,Linebacker,Front Seven,Defense,30,73,230,10,9-12 Yrs,Hampton,NA
Deon King,Dallas,LB,Linebacker,Front Seven,Defense,23,73,229,0,Rookie,Norfolk State,53
Damien Wilson,Dallas,LB,Linebacker,Front Seven,Defense,23,73,242,2,1-4 Yrs,Minnesota,57
Sean Lee,Dallas,LB,Linebacker,Front Seven,Defense,30,74,238,7,5-8 Yrs,Penn State,50
Andrew Gachkar,Dallas,LB,Linebacker,Front Seven,Defense,27,74,240,6,5-8 Yrs,Missouri,52
Mark Nzeocha,Dallas,LB,Linebacker,Front Seven,Defense,26,74,235,2,1-4 Yrs,Wyoming,53
Jaylon Smith,Dallas,LB,Linebacker,Front Seven,Defense,21,74,223,0,Rookie,Notre Dame,9
Rolando McClain,Dallas,LB,Linebacker,Front Seven,Defense,27,76,255,6,5-8 Yrs,Alabama,55
Kyle Wilber,Dallas,LB,Linebacker,Front Seven,Defense,27,76,245,5,5-8 Yrs,Wake Forest,51
L.P. Ladouceur,Dallas,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,35,77,256,12,9-12 Yrs,California,91
Ronald Leary,Dallas,OG,Offensive Guard,Offensive Line,Offense,27,75,320,4,1-4 Yrs,Memphis,65
Zack Martin,Dallas,OG,Offensive Guard,Offensive Line,Offense,25,76,315,3,1-4 Yrs,Notre Dame,70
Jared Smith,Dallas,OL,Offensive Line,Offensive Line,Offense,26,76,302,1,1-4 Yrs,New Hampshire,62
Boston Stiverson,Dallas,OL,Offensive Line,Offensive Line,Offense,23,76,313,0,Rookie,Kansas State,NA
La'el Collins,Dallas,OL,Offensive Line,Offensive Line,Offense,22,76,315,2,1-4 Yrs,LSU,71
Charles Brown,Dallas,OL,Offensive Line,Offensive Line,Offense,29,77,300,7,5-8 Yrs,USC,78
Chaz Green,Dallas,OL,Offensive Line,Offensive Line,Offense,24,77,315,2,1-4 Yrs,Florida,79
David Hedelin,Dallas,OT,Offensive Tackle,Offensive Line,Offense,25,76,298,0,Rookie,Purdue,75
Tyron Smith,Dallas,OT,Offensive Tackle,Offensive Line,Offense,25,77,320,6,5-8 Yrs,USC,77
Ryan Mack,Dallas,OT,Offensive Tackle,Offensive Line,Offense,23,77,310,0,Rookie,Memphis,74
Doug Free,Dallas,OT,Offensive Tackle,Offensive Line,Offense,32,78,325,10,9-12 Yrs,Northern Illinois,68
Chris Jones,Dallas,P,Punter,Special Teams,Special Teams,27,72,205,5,5-8 Yrs,Carson-Newman,6
Matt Wile,Dallas,P,Punter,Special Teams,Special Teams,24,74,223,0,Rookie,Michigan,2
Dan Bailey,Dallas,PK,Place Kicker,Special Teams,Special Teams,28,72,195,6,5-8 Yrs,Oklahoma State,5
Kellen Moore,Dallas,QB,Quarterback,QB,Offense,27,72,200,5,5-8 Yrs,Boise State,17
Jameill Showers,Dallas,QB,Quarterback,QB,Offense,24,73,230,1,1-4 Yrs,UTEP,7
Tony Romo,Dallas,QB,Quarterback,QB,Offense,36,74,230,14,13+ Yrs,Eastern Illinois,9
Dak Prescott,Dallas,QB,Quarterback,QB,Offense,22,74,226,0,Rookie,Mississippi State,15
Darius Jackson,Dallas,RB,Running Back,Tailback,Offense,22,72,221,0,Rookie,Eastern Michigan,6
Ezekiel Elliott,Dallas,RB,Running Back,Tailback,Offense,21,72,225,0,Rookie,Ohio State,15
Lance Dunbar,Dallas,RB,Running Back,Tailback,Offense,26,68,195,5,5-8 Yrs,North Texas,25
Alfred Morris,Dallas,RB,Running Back,Tailback,Offense,27,70,224,5,5-8 Yrs,Florida Atlantic,46
Darren McFadden,Dallas,RB,Running Back,Tailback,Offense,28,73,220,9,9-12 Yrs,Arkansas,20
Rod Smith,Dallas,RB,Running Back,Tailback,Offense,24,75,226,2,1-4 Yrs,Ohio State,45
J.J. Wilcox,Dallas,S,Safety,Defensive Back,Defense,25,72,212,4,1-4 Yrs,Georgia Southern,27
Kavon Frazier,Dallas,S,Safety,Defensive Back,Defense,22,72,217,0,Rookie,Central Michigan,5
Jeff Heath,Dallas,S,Safety,Defensive Back,Defense,25,73,212,4,1-4 Yrs,Saginaw Valley,38
Barry Church,Dallas,S,Safety,Defensive Back,Defense,28,74,218,7,5-8 Yrs,Toledo,42
Austin Traylor,Dallas,TE,Tight End,Tight End,Offense,22,75,247,0,Rookie,Wisconsin,NA
James Hanna,Dallas,TE,Tight End,Tight End,Offense,27,76,260,5,5-8 Yrs,Oklahoma,84
Geoff Swaim,Dallas,TE,Tight End,Tight End,Offense,22,76,260,2,1-4 Yrs,Texas,87
Jason Witten,Dallas,TE,Tight End,Tight End,Offense,34,78,263,14,13+ Yrs,Tennessee,82
Gavin Escobar,Dallas,TE,Tight End,Tight End,Offense,25,78,260,4,1-4 Yrs,San Diego State,89
Rico Gathers,Dallas,TE,Tight End,Tight End,Offense,22,80,275,0,Rookie,Baylor,2
Cole Beasley,Dallas,WR,Wide Receiver,Wide Receiver,Offense,27,68,180,5,5-8 Yrs,SMU,11
Lucky Whitehead,Dallas,WR,Wide Receiver,Wide Receiver,Offense,24,69,180,2,1-4 Yrs,Florida Atlantic,13
Ed Eagan,Dallas,WR,Wide Receiver,Wide Receiver,Offense,23,71,183,0,Rookie,Northwestern State,7
Dez Bryant,Dallas,WR,Wide Receiver,Wide Receiver,Offense,27,74,220,7,5-8 Yrs,Oklahoma State,88
Terrance Williams,Dallas,WR,Wide Receiver,Wide Receiver,Offense,26,74,208,4,1-4 Yrs,Baylor,83
Vince Mayle,Dallas,WR,Wide Receiver,Wide Receiver,Offense,25,74,224,1,1-4 Yrs,Washington State,85
Chris Brown,Dallas,WR,Wide Receiver,Wide Receiver,Offense,22,74,191,0,Rookie,Notre Dame,2
Andy Jones,Dallas,WR,Wide Receiver,Wide Receiver,Offense,22,74,200,0,Rookie,Jacksonville,4
Brice Butler,Dallas,WR,Wide Receiver,Wide Receiver,Offense,26,75,215,4,1-4 Yrs,San Diego State,19
Devin Street,Dallas,WR,Wide Receiver,Wide Receiver,Offense,25,75,200,3,1-4 Yrs,Pittsburgh,15
Rodney Smith,Dallas,WR,Wide Receiver,Wide Receiver,Offense,26,77,220,3,1-4 Yrs,Florida State,14
James Ferentz,Denver,C,Center,Offensive Line,Offense,27,74,285,2,1-4 Yrs,Iowa,53
Sam Brenner,Denver,C,Center,Offensive Line,Offense,26,74,310,3,1-4 Yrs,Utah,67
Matt Paradis,Denver,C,Center,Offensive Line,Offense,26,75,300,2,1-4 Yrs,Boise State,61
Dillon Day,Denver,C,Center,Offensive Line,Offense,24,76,299,1,1-4 Yrs,Mississippi State,62
Max Garcia,Denver,C,Center,Offensive Line,Offense,24,76,309,2,1-4 Yrs,Florida,73
Chris Harris Jr.,Denver,CB,Cornerback,Defensive Back,Defense,27,70,199,5,5-8 Yrs,Kansas,25
Taurean Nixon,Denver,CB,Cornerback,Defensive Back,Defense,25,70,187,1,1-4 Yrs,Tulane,39
Lorenzo Doss,Denver,CB,Cornerback,Defensive Back,Defense,22,70,187,2,1-4 Yrs,Tulane,37
Kayvon Webster,Denver,CB,Cornerback,Defensive Back,Defense,25,71,198,4,1-4 Yrs,South Florida,36
B.J. Lowery,Denver,CB,Cornerback,Defensive Back,Defense,24,71,194,0,Rookie,Iowa,30
Bradley Roby,Denver,CB,Cornerback,Defensive Back,Defense,24,71,194,3,1-4 Yrs,Ohio State,29
Aqib Talib,Denver,CB,Cornerback,Defensive Back,Defense,30,73,205,9,9-12 Yrs,Kansas,21
John Tidwell,Denver,DB,Defensive Back,Defensive Back,Defense,23,72,191,0,Rookie,Sioux Falls,NA
Darian Stewart,Denver,DB,Defensive Back,Defensive Back,Defense,27,71,214,7,5-8 Yrs,South Carolina,26
Eddie Yarbrough,Denver,DE,Defensive End,Front Seven,Defense,23,75,251,0,Rookie,Wyoming,55
DeMarcus Ware,Denver,DE,Defensive End,Front Seven,Defense,33,76,258,12,9-12 Yrs,Troy,94
Kenny Anunike,Denver,DE,Defensive End,Front Seven,Defense,26,76,275,3,1-4 Yrs,Duke,91
Jared Crick,Denver,DE,Defensive End,Front Seven,Defense,26,76,285,5,5-8 Yrs,Nebraska,93
Derek Wolfe,Denver,DE,Defensive End,Front Seven,Defense,26,77,285,5,5-8 Yrs,Cincinnati,95
Phil Taylor,Denver,DL,Defensive Lineman,Front Seven,Defense,28,75,335,5,5-8 Yrs,Baylor,97
Vance Walker,Denver,DT,Defensive Tackle,Front Seven,Defense,29,74,305,8,5-8 Yrs,Georgia Tech,96
Sylvester Williams,Denver,DT,Defensive Tackle,Front Seven,Defense,27,74,313,4,1-4 Yrs,North Carolina,92
Darius Kilgo,Denver,DT,Defensive Tackle,Front Seven,Defense,24,75,319,2,1-4 Yrs,Maryland,98
Adam Gotsis,Denver,DT,Defensive Tackle,Front Seven,Defense,23,76,287,0,Rookie,Georgia Tech,96
Andy Janovich,Denver,FB,Fullback,Tailback,Offense,23,73,230,0,Rookie,Nebraska,35
Connor McGovern,Denver,G,Guard,Offensive Line,Offense,23,76,305,0,Rookie,Missouri,60
Robert Myers Jr.,Denver,G,Guard,Offensive Line,Offense,24,77,326,1,1-4 Yrs,Tennessee State,70
Zaire Anderson,Denver,LB,Linebacker,Front Seven,Defense,23,71,220,1,1-4 Yrs,Nebraska,50
Brandon Marshall,Denver,LB,Linebacker,Front Seven,Defense,26,73,250,5,5-8 Yrs,Nevada,54
Todd Davis,Denver,LB,Linebacker,Front Seven,Defense,24,73,230,3,1-4 Yrs,Sacramento State,51
Corey Nelson,Denver,LB,Linebacker,Front Seven,Defense,24,73,226,3,1-4 Yrs,Oklahoma,52
Dekoda Watson,Denver,LB,Linebacker,Front Seven,Defense,28,74,245,6,5-8 Yrs,Florida State,NA
Shaquil Barrett,Denver,LB,Linebacker,Front Seven,Defense,23,74,250,3,1-4 Yrs,Colorado State,48
Von Miller,Denver,LB,Linebacker,Front Seven,Defense,27,75,250,6,5-8 Yrs,Texas A&M,58
Shane Ray,Denver,LB,Linebacker,Front Seven,Defense,23,75,245,2,1-4 Yrs,Missouri,56
Casey Kreiter,Denver,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,25,73,250,0,Rookie,Iowa,42
David Moala,Denver,NT,Nose Tackle,Front Seven,Defense,23,74,300,0,Rookie,Utah State,51
Donald Stephenson,Denver,OL,Offensive Line,Offensive Line,Offense,27,78,312,5,5-8 Yrs,Oklahoma,71
Russell Okung,Denver,OT,Offensive Tackle,Offensive Line,Offense,28,77,310,7,5-8 Yrs,Oklahoma State,NA
Darrion Weems,Denver,OT,Offensive Tackle,Offensive Line,Offense,27,77,310,3,1-4 Yrs,Oregon,77
Cameron Jefferson,Denver,OT,Offensive Tackle,Offensive Line,Offense,24,77,317,1,1-4 Yrs,Arkansas,75
Ty Sambrailo,Denver,OT,Offensive Tackle,Offensive Line,Offense,24,77,315,2,1-4 Yrs,Colorado State,74
Michael Schofield,Denver,OT,Offensive Tackle,Offensive Line,Offense,25,78,301,3,1-4 Yrs,Michigan,79
Kyle Roberts,Denver,OT,Offensive Tackle,Offensive Line,Offense,24,78,305,1,1-4 Yrs,Nevada,66
Britton Colquitt,Denver,P,Punter,Special Teams,Special Teams,31,75,205,8,5-8 Yrs,Tennessee,4
Riley Dixon,Denver,P,Punter,Special Teams,Special Teams,22,76,221,0,Rookie,Syracuse,92
Brandon McManus,Denver,PK,Place Kicker,Special Teams,Special Teams,24,75,201,3,1-4 Yrs,Temple,8
Mark Sanchez,Denver,QB,Quarterback,QB,Offense,29,74,225,8,5-8 Yrs,USC,6
Trevor Siemian,Denver,QB,Quarterback,QB,Offense,24,75,220,2,1-4 Yrs,Northwestern,13
Paxton Lynch,Denver,QB,Quarterback,QB,Offense,22,79,245,0,Rookie,Memphis,12
C.J. Anderson,Denver,RB,Running Back,Tailback,Offense,25,68,224,4,1-4 Yrs,California,22
Kapri Bibbs,Denver,RB,Running Back,Tailback,Offense,23,69,203,2,1-4 Yrs,Colorado State,35
Cyrus Gray,Denver,RB,Running Back,Tailback,Offense,26,70,206,3,1-4 Yrs,Texas A&M,28
Devontae Booker,Denver,RB,Running Back,Tailback,Offense,24,70,208,0,Rookie,Utah,23
Ronnie Hillman,Denver,RB,Running Back,Tailback,Offense,24,70,195,5,5-8 Yrs,San Diego State,23
Juwan Thompson,Denver,RB,Running Back,Tailback,Offense,24,71,225,3,1-4 Yrs,Duke,40
Brandian Ross,Denver,S,Safety,Defensive Back,Defense,26,72,190,4,1-4 Yrs,Youngstown State,27
Shiloh Keo,Denver,S,Safety,Defensive Back,Defense,28,71,208,4,1-4 Yrs,Idaho,33
Will Parks,Denver,S,Safety,Defensive Back,Defense,21,73,194,0,Rookie,Arizona,11
Justin Simmons,Denver,S,Safety,Defensive Back,Defense,22,74,202,0,Rookie,Boston College,27
T.J. Ward,Denver,SS,Strong Safety,Defensive Back,Defense,29,70,200,7,5-8 Yrs,Oregon,43
Manasseh Garner,Denver,TE,Tight End,Tight End,Offense,24,74,220,1,1-4 Yrs,Pittsburgh,41
Garrett Graham,Denver,TE,Tight End,Tight End,Offense,29,75,243,7,5-8 Yrs,Wisconsin,NA
Virgil Green,Denver,TE,Tight End,Tight End,Offense,27,77,255,6,5-8 Yrs,Nevada,85
Jeff Heuerman,Denver,TE,Tight End,Tight End,Offense,23,77,255,2,1-4 Yrs,Ohio State,82
Jordan Norwood,Denver,WR,Wide Receiver,Wide Receiver,Offense,29,71,180,7,5-8 Yrs,Penn State,11
Emmanuel Sanders,Denver,WR,Wide Receiver,Wide Receiver,Offense,29,71,180,7,5-8 Yrs,SMU,10
DeVier Posey,Denver,WR,Wide Receiver,Wide Receiver,Offense,26,73,210,3,1-4 Yrs,Ohio State,15
Bennie Fowler,Denver,WR,Wide Receiver,Wide Receiver,Offense,25,73,212,2,1-4 Yrs,Michigan State,16
Cody Latimer,Denver,WR,Wide Receiver,Wide Receiver,Offense,23,74,215,3,1-4 Yrs,Indiana,14
Demaryius Thomas,Denver,WR,Wide Receiver,Wide Receiver,Offense,28,75,229,7,5-8 Yrs,Georgia Tech,88
Jordan Taylor,Denver,WR,Wide Receiver,Wide Receiver,Offense,24,77,210,1,1-4 Yrs,Rice,87
Don Muhlbach,Detroit,C,Center,Offensive Line,Offense,34,76,258,13,13+ Yrs,Texas A&M,48
Gabe Ikard,Detroit,C,Center,Offensive Line,Offense,25,76,304,3,1-4 Yrs,Oklahoma,65
Travis Swanson,Detroit,C,Center,Offensive Line,Offense,25,77,307,3,1-4 Yrs,Arkansas,64
Graham Glasgow,Detroit,C,Center,Offensive Line,Offense,24,78,306,0,Rookie,Michigan,61
Darrin Walls,Detroit,CB,Cornerback,Defensive Back,Defense,28,72,190,6,5-8 Yrs,Notre Dame,30
Darius Slay,Detroit,CB,Cornerback,Defensive Back,Defense,25,72,190,4,1-4 Yrs,Mississippi State,23
Alex Carter,Detroit,CB,Cornerback,Defensive Back,Defense,21,72,196,1,1-4 Yrs,Stanford,33
Nevin Lawson,Detroit,CB,Cornerback,Defensive Back,Defense,25,69,191,3,1-4 Yrs,Utah State,24
Quandre Diggs,Detroit,CB,Cornerback,Defensive Back,Defense,23,69,197,2,1-4 Yrs,Texas,28
Ian Wells,Detroit,CB,Cornerback,Defensive Back,Defense,23,71,202,0,Rookie,Ohio,NA
Adairius Barnes,Detroit,CB,Cornerback,Defensive Back,Defense,22,71,181,0,Rookie,Louisiana Tech,NA
Crezdon Butler,Detroit,CB,Cornerback,Defensive Back,Defense,29,73,191,7,5-8 Yrs,Clemson,29
Tavon Wilson,Detroit,DB,Defensive Back,Defensive Back,Defense,26,72,215,5,5-8 Yrs,Illinois,27
Johnson Bademosi,Detroit,DB,Defensive Back,Defensive Back,Defense,25,72,200,5,5-8 Yrs,Stanford,24
Charles Washington,Detroit,DB,Defensive Back,Defensive Back,Defense,23,71,192,0,Rookie,Fresno State,NA
Wallace Gilberry,Detroit,DE,Defensive End,Front Seven,Defense,31,74,270,9,9-12 Yrs,Alabama,95
Deonte Gibson,Detroit,DE,Defensive End,Front Seven,Defense,23,75,260,0,Rookie,Northwestern,NA
Anthony Zettel,Detroit,DE,Defensive End,Front Seven,Defense,23,76,278,0,Rookie,Penn State,98
Jason Jones,Detroit,DE,Defensive End,Front Seven,Defense,30,77,275,9,9-12 Yrs,Eastern Michigan,91
Ezekiel Ansah,Detroit,DE,Defensive End,Front Seven,Defense,27,77,278,4,1-4 Yrs,BYU,94
Quanterus Smith,Detroit,DE,Defensive End,Front Seven,Defense,26,77,255,3,1-4 Yrs,Western Kentucky,NA
Devin Taylor,Detroit,DE,Defensive End,Front Seven,Defense,26,79,275,4,1-4 Yrs,South Carolina,98
Louis Palmer,Detroit,DL,Defensive Lineman,Front Seven,Defense,21,74,265,0,Rookie,Central Michigan,NA
Kerry Hyder,Detroit,DT,Defensive Tackle,Front Seven,Defense,25,74,290,1,1-4 Yrs,Texas Tech,61
Caraun Reid,Detroit,DT,Defensive Tackle,Front Seven,Defense,24,74,298,3,1-4 Yrs,Princeton,97
Khyri Thornton,Detroit,DT,Defensive Tackle,Front Seven,Defense,26,75,315,3,1-4 Yrs,Southern Mississippi,67
Tyrunn Walker,Detroit,DT,Defensive Tackle,Front Seven,Defense,26,75,305,5,5-8 Yrs,Tulsa,93
Gabe Wright,Detroit,DT,Defensive Tackle,Front Seven,Defense,24,75,305,2,1-4 Yrs,Auburn,90
Haloti Ngata,Detroit,DT,Defensive Tackle,Front Seven,Defense,32,76,345,11,9-12 Yrs,Oregon,92
A'Shawn Robinson,Detroit,DT,Defensive Tackle,Front Seven,Defense,21,76,312,0,Rookie,Alabama,86
Stefan Charles,Detroit,DT,Defensive Tackle,Front Seven,Defense,28,77,323,4,1-4 Yrs,University of Regina,96
Michael Burton,Detroit,FB,Fullback,Tailback,Offense,24,72,247,2,1-4 Yrs,Rutgers,46
Glover Quin,Detroit,FS,Free Safety,Defensive Back,Defense,30,72,207,8,5-8 Yrs,New Mexico,27
Larry Warford,Detroit,G,Guard,Offensive Line,Offense,25,75,332,4,1-4 Yrs,Kentucky,75
Joe Dahl,Detroit,G,Guard,Offensive Line,Offense,23,75,299,0,Rookie,Washington State,56
Jerry Franklin,Detroit,LB,Linebacker,Front Seven,Defense,28,73,245,2,1-4 Yrs,Arkansas,NA
Khaseem Greene,Detroit,LB,Linebacker,Front Seven,Defense,27,73,241,3,1-4 Yrs,Rutgers,49
Josh Bynes,Detroit,LB,Linebacker,Front Seven,Defense,26,73,235,5,5-8 Yrs,Auburn,57
Jonathan Bostic,Detroit,LB,Linebacker,Front Seven,Defense,25,73,245,4,1-4 Yrs,Florida,NA
Zaviar Gooden,Detroit,LB,Linebacker,Front Seven,Defense,25,73,231,3,1-4 Yrs,Missouri,NA
DeAndre Levy,Detroit,LB,Linebacker,Front Seven,Defense,29,74,235,8,5-8 Yrs,Wisconsin,54
Tahir Whitehead,Detroit,LB,Linebacker,Front Seven,Defense,26,74,242,5,5-8 Yrs,Temple,59
Kyle Van Noy,Detroit,LB,Linebacker,Front Seven,Defense,26,75,248,3,1-4 Yrs,BYU,53
Brandon Copeland,Detroit,LB,Linebacker,Front Seven,Defense,25,75,248,2,1-4 Yrs,Penn,95
Antwione Williams,Detroit,LB,Linebacker,Front Seven,Defense,23,75,229,0,Rookie,Georgia Southern,37
Jimmy Landes,Detroit,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,23,73,240,0,Rookie,Baylor,50
Laken Tomlinson,Detroit,OG,Offensive Guard,Offensive Line,Offense,24,75,323,2,1-4 Yrs,Duke,72
Chase Farris,Detroit,OL,Offensive Line,Offensive Line,Offense,23,77,310,0,Rookie,Ohio State,NA
Geoff Schwartz,Detroit,OL,Offensive Line,Offensive Line,Offense,30,78,340,8,5-8 Yrs,Oregon,NA
